306,0
830,0
1599,0
273,0
3061,1
1119,1
9,1
410,1
21,1
1522,1
263,1
79,1
350,1
173,1
1047,1
1092,1
50,1
84,1
57,1
127,1
557,1
203,1
161,1
306,1
66,1
16,1
2,1
391,1
1734,2
331,2
3574,2
3774,2
3061,2
34,2
9,2
2396,2
1246,2
410,2
2879,2
1407,2
154,2
147,2
496,2
1919,2
11,2
1307,2
2214,2
772,2
1560,2
1415,2
16,2
24,2
1535,2
204,2
272,2
442,2
42,2
326,2
391,2
96,2
350,2
1092,2
77,2
203,2
947,2
518,2
548,2
79,2
105,2
58,2
176,2
306,2
102,2
14,2
212,2
15,2
5,2
21,2
1,2
161,2
410,3
557,3
173,3
57,3
25,3
14,3
1398,4
3061,4
1342,4
1755,4
2384,4
139,4
1522,4
1047,4
53,4
38,4
306,4
14,4
331,5
139,5
2,5
66,5
14,5
106,5
15,5
7,6
306,7
59,7
877,7
777,7
391,7
96,7
24,9
161,9
1645,9
11,9
2,9
3061,9
892,9
16,9
180,9
2214,9
1739,9
1092,9
496,9
203,9
104,9
224,9
1526,9
507,9
173,9
407,9
350,9
272,9
704,9
877,9
375,9
79,9
7,9
105,9
1047,9
326,9
777,9
212,9
50,9
102,9
21,9
391,9
139,9
58,9
14,9
77,9
96,9
3574,11
272,11
4111,11
2858,11
1920,11
4003,11
104,11
3057,11
1729,11
84,11
1645,11
1971,11
514,11
330,11
147,11
1030,11
96,11
364,11
411,11
326,11
1047,11
1173,11
2065,11
892,11
2006,11
1342,11
1522,11
627,11
204,11
2052,11
496,11
228,11
14,11
31,11
224,11
79,11
77,11
2729,11
2214,11
102,11
375,11
777,11
2189,11
1476,11
192,11
173,11
507,11
1398,11
1739,11
362,11
516,11
748,11
139,11
448,11
244,12
1988,12
93,12
410,13
496,13
31,13
841,13
98,13
92,13
192,13
1199,13
1555,13
1247,14
530,14
161,14
1085,14
1615,14
289,14
1407,14
1307,14
11,14
627,14
16,14
2069,14
177,14
375,14
799,14
436,14
492,14
496,14
1919,14
2214,14
2034,14
