Id,Label,house
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALYS,Alys,Arryn
ARYA,Arya,Stark
BALERION,Balerion,Dragon
BENJEN,Benjen,Stark
BERIC,Beric,Brotherhood
BRAN,Bran,Stark
BRIENNE,Brienne,Stark
BRONN,Bronn,Lannister
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
DAENERYS,Daenerys,Targaryen
DAVOS,Davos,Seaworth
DICKON,Dickon,Tarly
EDDISON_TOLLETT,Eddison,Night's Watch
DROGO,Drogo,Dothraki
ELLARIA,Ellaria,Sand
EURON,Euron,Greyjoy
GENDRY,Gendry,Baratheon
GILLY,Gilly,Wildlings
GREY_WORM,Grey Worm,Targaryen
HARRAG,Harrag,Greyjoy
HIGH_SEPTON,High Septon (Aerys),Targaryen
HOT_PIE,Hot Pie,Commoner
HOUND,Sandor,Brotherhood
HOWLAND,Howland,Reed
JAIME,Jaime,Lannister
JEOR,Jeor,Night's Watch
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,Lannnister
JON,Jon,Snow
JON_ARRYN,Jon Arryn,Arryn
JORAH,Jorah,Mormont
LITTLE_SAM,Little Sam,Tarly
LITTLEFINGER,Petyr,Baelish
LYANNA,Lyanna,Stark
LYANNA_MORMONT,Lyanna Mormont,Mormont
LYSA,Lysa,Arryn
MARGAERY,Margaery,Tyrell
MARWYN,Marwin,Commoner
MEERA,Meera,Reed
MELISANDRE,Melisandre,R'hllor
MISSANDEI,Missandei,Targaryen
MOUNTAIN,Gregor,Lannister
MYRCELLA,Myrcella,Lannister
NED,Ned,Stark
NED_UMBER,Ned Umber,Stark
NIGHT_KING,Night King,White Walkers
NYMERIA,Nymeria,Direwolf
OBARA,Obara,Sand
OBERYN,Oberyn,Martell
OLENNA,Olenna,Tyrell
PODRICK,Podrick,Kingsguard
QHONO,Qhono,Dothraki
QYBURN,Qyburn,Lannister
RAMSAY,Ramsay,Bolton
RANDYLL,Randyll,Tarly
RHAEGAR,Rhaegar,Targaryen
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBETT,Robett,Stark
SAM,Sam,Tarly
SANSA,Sansa,Stark
SHIREEN,Shireen,Baratheon
STANNIS,Stannis,Baratheon
THEON,Theon,Greyjoy
THOROS,Thoros,Brotherhood
TOMMEN,Tommen,Lannister
TORMUND,Tormund,Wildlings
TYCHO,Tycho,Braavos
TYENE,Tyene,Sand
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VARYS,Varys,Lannister
VISERYS,Viserys,Targaryen
WALDER,Walder,Frey
WHITE_WALKER,White Walker,White Walkers
MAESTER_WOLKAN,Wolkan,Church7
YARA,Yara,Greyjoy
YOHN_ROYCE,Yohn Royce,Arryn
