Id,Label,house
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALLISER_THORNE,Alliser,Stark
AREO,Areo,Martell
ARYA,Arya,Stark
BARRISTAN,Barristan,Kingsguard
BLACK_HAIRED_PROSTITUTE,Strumpet,Commoner
BRAN,Bran,Stark
BRAND,Brand,Stark
BRIAN,Brian,Commoner
BRIENNE,Brienne,Stark
BRONN,Bronn,Lannister
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
CERWYN,Cerwyn,Stark
DAARIO,Daario,Second Sons
DAENERYS,Daenerys,Targaryen
DAVOS,Davos,Seaworth
DENYS,Denys,Mallister
DERRYK,Derryk,Commoner
DORAN,Doran,Martel
DORNISH_RIDER,Dornish Rider,Martell
EDDISON_TOLLETT,Eddison,Night's Watch
ELLARIA,Ellaria,Sand
FALYSE,Falyse,Stokeworth
GILLY,Gilly,Wildlings
GRENN,Grenn,Night's Watch
GREY_WORM,Grey Worm,Targaryen
HIGH_SEPTON,High Septon,Church7
HIGH_SPARROW,High Sparrow,Church7
HIZDAHR,Hizdahr,Meereen
JAIME,Jaime,Lannister
JANOS,Janos,Lannister
JAQEN,Jaqen,Braavos
JEOR,Jeor,Night's Watch
JOFFREY,Joffrey,Lannnister
JON,Jon,Snow
JORAH,Jorah,Mormont
KARSI,Karsi,Wildling
KEVAN,Kevan,Lannister
LANCEL,Lancel,Lannister
LITTLE_SAM,Little Sam,Tarly
LITTLEFINGER,Petyr,Baelish
LOBODA,Loboda,Wildlings
LOLLYS,Lollys,Stokeworth
LORAS,Loras,Tyrell
LORD_OF_BONES,Lord of Bones,Wildlings
LORD_WEEBLY,Lord Weebly,Commoner
LYANNA,Lynanna,Stark
LYANNA_MORMONT,Lyanna Mormont,Mormont
LYSA,Lysa,Arryn
MACE,Mace,Tyrell
MADAME,Madame,Commoner
MAESTER_AEMON,Aemon,Targaryen
MAGGY,Maggy,Commoner
MAGNAR,Magnar,Wildlings
MALKO,Malko,Commoner
MANCE,Mance,Wildlings
MARGAERY,Margaery,Tyrell
MELARA,Melara,Lannister
MELISANDRE,Melisandre,R'hllor
MERYN_TRANT,Meryn,Kingsguard
MISSANDEI,Missandei,Targaryen
MOSSADOR,Mossador,Meereen
MOUNTAIN,Mountain,Lannister
MYRANDA,Myranda,Bolton
MYRCELLA,Myrcella,Lannister
NED,Ned,Stark
NIGHT_KING,Night King,White Walkers
NYMERIA,Nymeria,Direwolf
OBARA,Obara,Sand
OBERYN,Oberyn,Martell
OLENNA,Olenna,Tyrell
OLLY,Olly,Commoner
OLYVAR,Olyvar,Commoner
OWNER,Owner,Commoner
PODRICK,Podrick,Kingsguard
PYCELLE,Pycelle,Lannister
PYP,Pyp,Night's Watch
QUICK,Quick,Commoner
QYBURN,Qyburn,Lannister
RAMSAY,Ramsay,Bolton
RANDYLL,Randyll,Tarly
RENLY,Renly,Baratheon
RHAEGAR,Rhaegar,Targaryen
RHAENYRA,Rhaenyra,Targaryen
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
ROOSE_BOLTON,Roose,Bolton
ROYCE,Royce,Bolton
SAM,Sam,Tarly
SANSA,Sansa,Stark
SELWYN,Selwyn,Tarth
SELYSE,Selyse,Baratheon
SEPTA_UNELLA,Septa Unella,Church7
SHAE,Shae,Lannister
SHIREEN,Shireen,Baratheon
STANNIS,Stannis,Baratheon
STEFFON,Steffon,Baratheon
STRONG,Strong,Baratheon
TANDA,Tanda,Stokeworth
THEON,Theon,Greyjoy
THIN_MAN,Thin Man,Braavos
TOMMEN,Tommen,Lannister
TORMUND,Tormund,Wildlings
TRYSTANE,Trystane,Martell
TYCHO,Tycho,Braavos
TYENE,Tyene,Sand
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VARYS,Varys,Lannister
WAIF,Waif,Braavos
WALDA,Walda,Bolton
WALDER,Walder,Frey
WOLKAN,Wolkan,Church7
OTHELL_YARWYCK,Othell,Night's Watch
YOHN_ROYCE,Yohn,Arryn
MAESTER_WOLKAN,Wolkan,Church7
