Id,Label,house
ADRACK_HUMBLE,Adrack Humble,Greyjoy
AERYS,Aerys,Targaryen
ALLISER_THORNE,Alliser Thorne,Night's Watch
ANYA_WAYNWOOD,Anya Waynwood,Waynwood
ARYA,Arya,Stark
AXELL_FLORENT,Axell Florent,Florent
BAELOR,Baelor,Targarien
BALON,Balon,Dragon
BALON_DWARF,Balon Dwarf,Greyjoy
BARRISTAN,Barristan,Kingsguard
BITER,Biter,Night's Watch
BLACK_JACK,Black Jack,Night's Watch
BOLTON_GUARD,Bolton Guard,Bolton
BOROS,Boros,Lannister
BRAN,Bran,Stark
BRIENNE,Brienne,Stark
BRONN,Bronn,Lannister
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
COOPER,Cooper,Night's Watch
CRASTER,Craster,Night's Watch
CRASTERS_BABY,Baby,Commoner
DAARIO,Daario,Second Sons
DAENERYS,Daenerys,Targaryen
DAVOS,Davos,Seaworth
EDDISON_TOLLETT,Eddison,Night's Watch
DONGO_THE_GIANT,Dongo the Giant,Wildling
DONNEL_HILL,Donnel Hill,Night's Watch
DONNEL_WAYNWOOD,Donnel Waynwood,Arryn
DONTOS,Dontos,Baratheon
DORAN,Doran,Martel
DORNISH_LORD,Dornish Lord,Martell
DROGO,Drogo,Dothraki
DYING_MAN,Dying Man,Commoner
ELDER_MEEREEN_SLAVE,Meereen Statesman,Meereen
ELIA,Elia,Martell
ELLARIA,Ellaria,Sand
ENDREW,Endrew,Night's Watch
FALYSE,Falyse,Stokeworth
FARMER_HAMLET,Hamlet Farmer,Commoner
FENNESZ,Fennesz,Meereen
FIRST_MATE,First Mate,Greyjoy
FOOL,Fool,Commoner
GILLY,Gilly,Wildlings
GOATHERD,Goatherd,Meereen
GOATHERDS_SON,Goatherd's Son,Meereen
GRENN,Grenn,Night's Watch
GREY_WORM,Grey Worm,Targaryen
GUYMON,Guymon,Commoner
HIGH_SEPTON,High Septon,Church7
HIZDAHR,Hizdahr,Meereen
HIZDAHRS_FATHER,Hizdahr's Father,Meereen
HODOR,Hodor,Stark
HOSTER,Hoster,Tully
HOT_PIE,Hot Pie,Commoner
INNKEEPER,Innkeeper,Commoner
INNKEEPERS_DAUGHTER,Innkeeper's Daughter,Commoner
JAIME,Jaime,Lannister
JANOS,Janos,Lannister
JAQEN,Jaqen,Braavos
JEOR,Jeor,Night's Watch
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,Lannnister
JOFFREY_DWARF,Joffrey Dwarf,Commoner
JOJEN,Jojen,Child of the Forest
JON,Jon,Snow
JON_ARRYN,Jon Arryn,Arryn
JORAH,Jorah,Mormont
KARL_TANNER,Karl,Night's Watch
KEGS,Kegs,Night's Watch
LEAF,Leaf,Child of the Forest
LHARA,Lhara,Braavos
LITTLE_SAM,Little Sam,Tarly
LITTLEFINGER,Petyr,Baelish
LOCKE,Locke,Bolton
LOLLYS,Lollys,Stokeworth
LOMMY,Lommy,Night's Watch
LORAS,Loras,Tyrell
LUTHOR,Luthor,Tyrell
LYSA,Lysa,Arryn
MACE,Mace,Tyrell
MAESTER_AEMON,Aemon,Targaryen
MAG_THE_MIGHTY,Mag the Mighty,Wildlings
MANCE,Mance,Wildlings
MANSERVANT,Manservant,Commoner
MAREI,Marei,Commoner
MARGAERY,Margaery,Tyrell
MASTER_MIGHDAL,Master Mighdal,Meereen
MEERA,Meera,Reed
MEEREEN_CHAMPION,Meereen Champion,Meereen
MEEREEN_SLAVE,Meereen Slave,Meereen
MELISANDRE,Melisandre,R'hllor
MERYN_TRANT,Meryn,Kingsguard
MISSANDEI,Missandei,Targaryen
MOLES_TOWN_MADAM,Mole's Town Madam,Commoner
MOLES_TOWN_WHORE,Mole's Town Whore,Commoner
MORAG,Morag,Wildlings
MORGAN,Morgan,Brotherhood
MORGANS_FRIEND,Morgan's Friend,Commoner
MOSSADOR,Mossador,Meereen
MOUNTAIN,Gregor,Lannister
MULLY,Mully,Night's Watch
MUSICIAN,Musician,Commoner
MYRANDA,Myranda,Bolton
MYRCELLA,Myrcella,Lannister
NED,Ned,Stark
NIGHT_KING,Night King,White Walkers
OBERYN,Oberyn,Martell
OLENNA,Olenna,Tyrell
OLLY,Olly,Commoner
OLLYS_MOTHER,Olly's Mother,Commoner
OLYVAR,Olyvar,Commoner
ORSON,Orson,Lannister
ORYS,Orys,Baratheon
ORYS_BROTHER,Orys's Brother,Baratheon
OTHELL_YARWYCK,Othell,Night's Watch
PODRICK,Podrick,Kingsguard
POLLIVER,Polliver,Lannister
PYCELLE,Pycelle,Lannister
PYP,Pyp,Night's Watch
QHORIN,Qhorin,Night's Watch
QYBURN,Qyburn,Lannister
RALF,Ralf,Greyjoy
RAMSAY,Ramsay,Bolton
RANDYLL,Randyll,Tarly
RAST,Rast,Night's Watch
RENLY,Renly,Baratheon
RENLY_DWARF,Renly Dwarf,Commoner
RHAEGAR,Rhaegar,Targaryen
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBB_DWARF,Robb Dwarf,Commoner
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
ROOSE_BOLTON,Roose,Bolton
RORGE,Rorge,Night's Watch
SALLADHOR,Salladhor,Lys
SALLY,Sally,Commoner
SAM,Sam,Tarly
HOUND,Sandor,Brotherhood
SANSA,Sansa,Stark
SELWYN,Selwyn,Tarth
SELYSE,Selyse,Baratheon
SHAE,Shae,Lannister
SHIREEN,Shireen,Baratheon
SISSY,Sissy,Wildlings
STANNIS,Stannis,Baratheon
STANNIS_DWARF,Stannis Dwarf,Commoner
STYR,Styr,Wildlings
SYRIO_FOREL,Syrio Forel,Stark
TANSY,Tansy,Bolton
TERNESIO_TERYS,Ternesio Terys,Braavos
THENN_WARG,Thenn Warg,Wildlings
THEON,Theon,Greyjoy
THREE_EYED_RAVEN,Three Eyed Raven,Stark
TOMMEN,Tommen,Lannister
TOMMY,Tommy,Stark
TORMUND,Tormund,Wildlings
TYCHO,Tycho,Braavos
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VANCE_CORBRAY,Vance Corbray,Arryn
VARYS,Varys,Lannister
VIOLA,Viola,Tyrell
VISERYS,Viserys,Targaryen
WALDA,Walda,Bolton
WAYMAR_ROYCE,Waymar Royce,Night's Watch
WHITE_WALKER,White Walker,White Walkers
YARA,Yara,Greyjoy
YGRITTE,Ygritte,Wildlings
YOHN_ROYCE,Yohn Royce,Arryn
ZALA,Zala,Commoner
