Id,Label,house
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALANNA,Alanna,Commoner
ALTON,Alton,Greyjoy
ALYS,Alys,Arryn
ARYA,Arya,Stark
BERIC,Beric,Brotherhood
BRAN,Bran,Stark
BRIENNE,Brienne,Stark
BRONN,Bronn,Lannister
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
CERSEIS_BABY,Cersei's Baby,Lannister
CRAYAH,Crayah,Commoner
DAENERYS,Daenerys,Targaryen
DAVOS,Davos,Seaworth
DICKON,Dickon,Tarly
DIRAH,Dirah,Commoner
DORNISH_PRINCE,Dornish Prince,Martell
EDDISON_TOLLETT,Eddison,Night's Watch
EDMURE,Edmure,Tully
EURON,Euron,Greyjoy
GENDRY,Gendry,Baratheon
GILLY,Gilly,Wildlings
GREY_WORM,Grey Worm,Targaryen
HARRY,Harry,Golden Company
HOUND,Sandor,Brotherhood
IRONBORN_LORD,Ironborn Lord,Greyjoy
JAIME,Jaime,Lannister
JOFFREY,Joffrey,Lannnister
JON,Jon,Snow
JORAH,Jorah,Mormont
LITTLE_SAM,Little Sam,Tarly
LITTLEFINGER,Petyr,Baelish
LYANNA,Lyanna,Stark
LYANNA_MORMONT,Lyanna Mormont,Mormont
MAREI,Marei,Commoner
MARTHA,Martha,Commoner
MARWYN,Marwyn,Commoner
MELISANDRE,Melisandre,R'hllor
MISSANDEI,Missandei,Targaryen
MOUNTAIN,Gregor,Lannister
NED,Ned,Stark
NED_UMBER,Ned Umber,Stark
NIGHT_KING,Night King,White Walkers
NORA,Nora,Commoner
OWEN,Owen,Merryweather
PODRICK,Podrick,Kingsguard
QHONO,Qhono,Dothraki
QYBURN,Qyburn,Lannister
RAMSAY,Ramsay,Bolton
RANDYLL,Randyll,Tarly
RHAEGAR,Rhaegar,Targaryen
RIVERLANDS_LORD,Riverlands Lord,Commoner
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
SAM,Sam,Tarly
SANSA,Sansa,Stark
SARRA,Sarra,Frey
TEELA,Teela,Commoner
THEON,Theon,Greyjoy
TORMUND,Tormund,Wildlings
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
UNSULLIED_CAPTAIN,Unsullied Captain,Targaryen
VALE_LORD,Vale Lord,Arryn
VARYS,Varys,Lannister
VICKY,Vicky,Commoner
VISERYS,Viserys,Targaryen
WILLA,Willa,Wildlings
WILLIAM,William,Lannister
MAESTER_WOLKAN,Wolkan,Church7
YARA,Yara,Greyjoy
YOHN_ROYCE,Yohn Royce,Arryn
