Id,Label,house
AEGON,Aegon,Targaryen
AERYS,Aerys,Targaryen
ALTON,Alton,Greyjoy
AMORY,Amory,Lannister
ARYA,Arya,Stark
BALON,Balon,Dragon
BARRA,Barra,Baratheon
BENJEN,Benjen,Stark
BILLY,Billy,Commoner
BITER,Biter,Night's Watch
BLACK_LORREN,Black Lorren,Greyjoy
BOROS,Boros,Lannister
BRAN,Bran,Stark
BRIENNE,Brienne,Stark
BRONN,Bronn,Lannister
CAPTAINS_DAUGHTER,Captain's Daughter,Greyjoy
CATELYN,Catelyn,Stark
CERSEI,Cersei,Lannister
COLEN,Colen,Baratheon
CRASTER,Craster,Night's Watch
CRESSEN,Cressen,Baratheon
DAENERYS,Daenerys,Targaryen
DAGMER,Dagmer,Greyjoy
DAISY,Daisy,Commoner
DAVOS,Davos,Seaworth
DONTOS,Dontos,Baratheon
DOREAH,Doreah,Targaryen
DROGO,Drogo,Dothraki
DROWNED_PRIEST,Drowned Priest,Greyjoy
EDDISON_TOLLETT,Eddison,Night's Watch
FARLEN,Farlen,Commoner
FATHER_SEAWORTH,Father Seaworth,Seaworth
FREY_DAUGHTER,Frey Daughter,Frey
GENDRY,Gendry,Baratheon
GERARD,Gerard,Targaryen
GILLY,Gilly,Wildlings
GRENN,Grenn,Night's Watch
HARREN,Harren,Greyjoy
HAYLENE,Haylene,Commoner
HIGH_SEPTON,High Septon,Church7
HODOR,Hodor,Stark
HOT_PIE,Hot Pie,Commoner
HOUND,Sandor,Brotherhood
ILYN_PAYNE,Ilyn,Lannister
IRRI,Irri,Dothraki
JACKS,Jacks,Stark
JAIME,Jaime,Lannister
JANOS,Janos,Lannister
JAQEN,Jaqen,Braavos
JEOR,Jeor,Night's Watch
JOANNA,Joanna,Lannister
JOFFREY,Joffrey,Lannnister
JON,Jon,Snow
JON_ARRYN,Jon Arryn,Arryn
JORAH,Jorah,Mormont
KEVAN,Kevan,Lannister
KOVARRO,Kovarro,Dothraki
LANCEL,Lancel,Lannister
LITTLEFINGER,Petyr,Baelish
LOMMY,Lommy,Night's Watch
LORAS,Loras,Tyrell
LYSA,Lysa,Arryn
MAESTER_LUWIN,Luwin,Stark
MALAKKO,Malakko,Dothraki
MANCE,Mance,Wildlings
MANDON,Mandon,Kingsguard
MARGAERY,Margaery,Tyrell
MARYA,Marya,Seaworth
MATTHOS,Matthos,Seaworth
MELESSA,Melessa,Tarly
MELISANDRE,Melisandre,R'hllor
MERYN_TRANT,Meryn,Kingsguard
MHAEGEN,Mhaegen,Commoner
MOUNTAIN,Gregor,Lannister
MYRCELLA,Myrcella,Lannister
NED,Ned,Stark
OSHA,Osha,Wildlings
PODRICK,Podrick,Kingsguard
POLLIVER,Polliver,Lannister
PORTAN,Portan,Stark
PROTESTER,Protester,Commoner
PYATT_PREE,Pyatt Pree,Qarth
PYCELLE,Pycelle,Lannister
QHORIN,Quorin,Night's Watch
QUAITHE,Quaithe,R'hllor
QUENT,Quent,Stark
RAKHARO,Rakharo,Dothraki
RAMSAY,Ramsay,Bolton
RANDYLL,Randyll,Tarly
LORD_OF_BONES,Lord of Bones,Wildlings
REGINALD,Reginald,Lannister
RENLY,Renly,Baratheon
RENNICK,Rennick,Lannister
RHAEGO,Rhaego,Targaryen
RHAENYS,Rhaenys,Targaryen
RICKARD_KARSTARK,Rickard Karstark,Stark
RICKON,Rickon,Stark
ROBB,Robb,Stark
ROBERT,Robert,Baratheon
ROBIN,Robin,Arryn
RODRIK,Rodrik,Stark
ROOSE_BOLTON,Roose,Bolton
RORGE,Rorge,Night's Watch
ROS,Ros,Commoners
SALLADHOR,Salladhor,Lys
SAM,Sam,Tarly
SANSA,Sansa,Stark
SEPTON,Septon,Church7
SHAE,Shae,Lannister
SILK_KING,Silk King,Qarth
SPICE_KING,Spice King,Qarth
STANNIS,Stannis,Baratheon
SYRIO_FOREL,Syrio,Stark
TALISA,Talisa,Stark
THEON,Theon,Greyjoy
TICKLER,Tickler,Lannister
TIMETT,Timett,Greyjoy
TOMMEN,Tommen,Lannister
TORRHEN,Torrhen,Stark
TRYSTANE,Trystane,Martell
TYRION,Tyrion,Lannister
TYWIN,Tywin,Lannister
VARYS,Varys,Lannister
VISENYA,Visenya,Targaryen
WINTERFELL_SHEPHERD,Shepherd,Church7
XARO,Xaro,Qarth
YARA,Yara,Greyjoy
YGRITTE,Ygritte,Wildlings
YOREN,Yoren,Night's Watch
